year_month,customer_id,transaction_count,total_spending,avg_transaction_amount,spending_volatility
2022-01-01,10021,1,76.17,76.17,
2022-01-01,10136,1,130.28,130.28,
2022-01-01,10169,1,75.34,75.34,
2022-01-01,10283,1,2.39,2.39,
2022-01-01,10302,1,31.66,31.66,
2022-01-01,10446,1,54.2,54.2,
2022-01-01,10474,1,200.0,200.0,
2022-01-01,10536,1,12.19,12.19,
2022-01-01,10626,1,200.0,200.0,
2022-01-01,10743,1,22.65,22.65,
2022-01-01,10805,1,85.26,85.26,
2022-01-01,11146,1,24.13,24.13,
2022-01-01,11180,1,252.0,252.0,
2022-01-01,11264,1,5.92,5.92,
2022-01-01,11320,1,20.0,20.0,
2022-01-01,11442,1,414.04,414.04,
2022-01-01,11490,1,39.36,39.36,
2022-01-01,11531,1,9.63,9.63,
2022-01-01,11546,1,31.27,31.27,
2022-01-01,11563,1,30.16,30.16,
2022-01-01,11616,1,5.13,5.13,
2022-01-01,11636,1,67.02,67.02,
2022-01-01,11693,1,2.77,2.77,
2022-01-01,11698,1,43.91,43.91,
2022-01-01,11766,1,60.09,60.09,
2022-01-01,11823,1,34.76,34.76,
2022-01-01,11900,1,23.01,23.01,
2022-01-01,12098,1,268.58,268.58,
2022-01-01,12135,1,81.75,81.75,
2022-01-01,12225,1,88.01,88.01,
2022-01-01,12291,1,130.32,130.32,
2022-01-01,12333,1,27.1,27.1,
2022-01-01,12452,1,81.52,81.52,
2022-01-01,12466,1,4.72,4.72,
2022-01-01,12628,1,20.33,20.33,
2022-01-01,12744,1,31.7,31.7,
2022-01-01,12765,1,24.55,24.55,
2022-01-01,12814,1,22.67,22.67,
2022-01-01,12851,1,100.0,100.0,
2022-01-01,12932,1,128.96,128.96,
2022-01-01,13019,1,89.79,89.79,
2022-01-01,13284,1,685.61,685.61,
2022-01-01,13345,1,14.33,14.33,
2022-01-01,13403,1,236.37,236.37,
2022-01-01,13460,1,344.34,344.34,
2022-01-01,13501,1,59.79,59.79,
2022-01-01,13674,1,506.22,506.22,
2022-01-01,13752,1,60.04,60.04,
2022-01-01,13756,1,362.62,362.62,
2022-01-01,13766,1,605.86,605.86,
2022-01-01,13872,1,60.0,60.0,
2022-01-01,13910,1,17.62,17.62,
2022-01-01,14027,1,55.73,55.73,
2022-01-01,14052,1,20.78,20.78,
2022-01-01,14160,1,94.58,94.58,
2022-01-01,14242,1,241.73,241.73,
2022-01-01,14247,1,111.53,111.53,
2022-01-01,14306,1,30.26,30.26,
2022-01-01,14428,1,10.34,10.34,
2022-01-01,14488,1,1167.61,1167.61,
2022-01-01,14625,1,19.9,19.9,
2022-01-01,14703,1,62.93,62.93,
2022-01-01,14884,1,8.22,8.22,
2022-01-01,14960,1,82.61,82.61,
2022-01-01,15165,1,44.2,44.2,
2022-01-01,15386,1,9.72,9.72,
2022-01-01,15475,1,25.24,25.24,
2022-01-01,15493,1,25.56,25.56,
2022-01-01,15531,1,2.72,2.72,
2022-01-01,15558,1,60.0,60.0,
2022-01-01,15796,1,9.27,9.27,
2022-01-01,15807,1,28.58,28.58,
2022-01-01,15822,1,72.33,72.33,
2022-01-01,15835,1,1109.12,1109.12,
2022-01-01,15893,1,40.15,40.15,
2022-01-01,15937,1,35.62,35.62,
2022-01-01,15998,1,59.34,59.34,
2022-01-01,16127,1,67.77,67.77,
2022-01-01,16212,1,56.74,56.74,
2022-01-01,16222,1,24.96,24.96,
2022-01-01,16225,1,198.75,198.75,
2022-01-01,16229,1,52.26,52.26,
2022-01-01,16268,1,2.61,2.61,
2022-01-01,16390,1,19.32,19.32,
2022-01-01,16514,1,9.45,9.45,
2022-01-01,16617,1,287.63,287.63,
2022-01-01,16634,1,31.09,31.09,
2022-01-01,16666,1,2.46,2.46,
2022-01-01,16670,1,5.0,5.0,
2022-01-01,16722,1,24.12,24.12,
2022-01-01,16726,1,70.79,70.79,
