transaction_id,is_fraud,fraud_score,fraud_type,detection_method,time_to_detection_hours
TXN00008507,0,0.275,,,
TXN00026951,0,0.243,,,
TXN00004777,0,0.196,,,
TXN00009908,0,0.184,,,
TXN00015271,0,0.01,,,
TXN00004152,0,0.282,,,
TXN00047667,0,0.275,,,
TXN00025862,0,0.15,,,
TXN00047228,0,0.191,,,
TXN00027241,0,0.06,,,
TXN00004726,0,0.165,,,
TXN00002605,0,0.266,,,
TXN00048160,0,0.039,,,
TXN00048400,0,0.179,,,
TXN00042632,0,0.036,,,
TXN00026864,0,0.14,,,
TXN00016561,0,0.09,,,
TXN00022614,0,0.025,,,
TXN00008126,0,0.031,,,
TXN00032020,0,0.14,,,
TXN00007796,0,0.211,,,
TXN00044067,0,0.264,,,
TXN00034146,0,0.104,,,
TXN00015715,0,0.254,,,
TXN00018980,0,0.1,,,
TXN00021933,0,0.148,,,
TXN00036085,0,0.159,,,
TXN00007008,0,0.21,,,
TXN00048906,0,0.025,,,
TXN00021946,0,0.048,,,
TXN00009188,0,0.187,,,
TXN00011884,0,0.244,,,
TXN00016002,0,0.176,,,
TXN00039721,0,0.216,,,
TXN00038387,0,0.142,,,
TXN00026009,0,0.142,,,
TXN00048261,0,0.21,,,
TXN00039055,0,0.232,,,
TXN00003627,0,0.063,,,
TXN00030852,0,0.278,,,
TXN00033727,0,0.235,,,
TXN00029209,0,0.253,,,
TXN00002903,0,0.137,,,
TXN00049533,0,0.215,,,
TXN00043614,0,0.285,,,
TXN00007264,0,0.089,,,
TXN00009439,0,0.25,,,
TXN00006755,0,0.298,,,
TXN00010048,0,0.253,,,
TXN00018433,0,0.023,,,
TXN00014822,0,0.253,,,
TXN00024304,0,0.084,,,
TXN00033146,0,0.019,,,
TXN00037941,0,0.074,,,
TXN00047969,0,0.036,,,
TXN00004979,0,0.28,,,
TXN00048933,0,0.064,,,
TXN00025480,0,0.169,,,
TXN00043834,0,0.26,,,
TXN00017309,0,0.113,,,
TXN00037366,0,0.207,,,
TXN00034322,0,0.137,,,
TXN00027769,0,0.109,,,
TXN00043588,0,0.192,,,
TXN00024845,0,0.01,,,
TXN00013294,0,0.129,,,
TXN00002715,0,0.025,,,
TXN00004130,0,0.198,,,
TXN00007583,0,0.249,,,
TXN00007733,0,0.136,,,
TXN00012528,0,0.152,,,
TXN00017189,0,0.207,,,
TXN00034674,0,0.134,,,
TXN00022739,0,0.041,,,
TXN00019506,0,0.203,,,
TXN00013653,0,0.244,,,
TXN00002912,0,0.072,,,
TXN00049071,0,0.088,,,
TXN00030937,0,0.297,,,
TXN00016341,0,0.227,,,
